,,,,,,
UK Civil Protection Lexicon,,,,,,
Version 2.1.1 (February 2013),,,,,,
Explanatory Notes and Version History appear in separate sheets,,,,,,
"For further information, related documents and the current version go to: ",,,,,,
www.cabinetoffice.gov.uk/cplexicon,,,,,,
Primary Term,Abbreviation or acronym,Included / Revised in  Ver. ,Source,Definition                                                                                        (text in bold indicates a related defintion in the Lexicon),Notes on definition,Geography or jurisdiction to which the term is restricted
Disaster cycle,,1.0,CCS,"Sequence of four civil protection phases:  preparedness, mitigation, response and recovery used in some guidance documents and academic papers. See also Integrated Emergency Management phases ",,
Disaster Mortuary,,1.0,CCS,Mortuary used following an incident involving a large number of fatalities; may be situated in an existing designated mortuary or in a resilience mortuary,,
Disaster Victim Identification,DVI,1.0,CCS,"The process of gathering evidence relating to bodies or body parts and the cause of death resulting from an emergency or disaster, in order to enable the Identification Commission to identify the deceased ",,
Disaster Victim Identification form,,2.0,CCS,(Interpol) Standard form for use by all Interpol member countries to record and transmit Ante Mortem Data and Post Mortem Data between and within countries,,
Distress, ,2.0,MCA,(Of a vessel or person) Grave and imminent danger,,
Distress Alert,,2.0,MCA,"Internationally recognised electronic, visual or aural signal indicating distress ",,
District, ,1.0,CCS,"1. General definition - any locality with relatively well defined boundaries, or associated with a particular group or community",,
,,,,2. Specific definition - administrative subdivision of a county,,
District Emergency Centre,DEC,2.0,CCS,Local authority operations centre from which the management and co-ordination of the response to an emergency are carried out ,"Generically, and preferably known as an Emergency Control Centre",
Downstream,,2.0,CCS,That portion of the river which is farther from the river's source than the reference point,,
Dynamic risk assessment,DRA,2.0,CCS,"Continuing assessment appraisal, made during an incident or emergency, of the hazards involved in, and the impact of, the response",,
Electronic Communications Resilience & Response Group,EC-RRG,2.1,CCS,Body hosted by the Department for Business Innovation and Skills  to plan for risk within the telecommunications sector and to facilitate co-operation in maintaining the national infrastructure in an emergency,,
Emergency,,1.0,CCS,"An event or situation which threatens serious damage to human welfare in a place in the UK, the environment of a place in the UK, or the security of the UK or of a place in the UK. ",Note: to constitute an emergency this event or situation must require the implementation of special arrangements by one or more Category 1 responder.,
Emergency broadcasting system,ECC,1.0,CCS,Arrangement supervised by the Cabinet Office to allow the rapid dissemination of public warnings through the whole range of radio and television services,,
Emergency Communications Network,,1.0,CCS,"Private switched telephone network providing links to local authorities, with connections to police and fire headquarters and a number of central government departments",,
Emergency Control Centre,ECC,1.0,CCS,Generic term for a centre for controlling and co-ordinating the response of an organisation to an incident or an emergency ,,
Emergency Co-ordination Centre (Wales),ECC(W),1.0,CCS,Welsh  Government centre co-ordinating a multi-agency response to an emergency and acting as a link between the local level and the Cabinet Office Briefing Rooms,,Wales
Emergency Co-ordinator,EC,1.0,CCS,Regional Nominated Co-ordinator in the devolved administrations,,"Northern Ireland, Scotland and Wales"
Emergency Financial Assistance Scheme,EFAS,1.0,CCS,Welsh  Government counterpart of the Bellwin scheme,,
Emergency management,,1.0,CCS,See Integrated Emergency Management,,
Emergency Media Centre,EMC,1.0,CCS,Premises designated for use by the media in the event of an emergency,,
Emergency mortuary,EMort,1.0,CCS,Temporary structure or converted existing structure designated for use for the time being as a mortuary.,,
Emergency Plan,,2.0,CCS,"A document or collection of documents that sets out the overall framework for the initiation, management, co-ordination and control of personnel and assets to reduce, control or mitigate the effects of an emergency.",,
Emergency planning, ,1.0,CCS,Aspect of Integrated Emergency Management concerned with developing and maintaining procedures to prevent emergencies and to mitigate the impact when they occur,,
Emergency Planning College,EPC,2.1,CCS,"Leading provider of training for emergency preparedness and crisis management, run for and on belaf of the Cabinet Office by Serco",See www.epcollege.com,
Emergency Planning Consultative Committee ,EPCC,2.0,NEPLG,Local emergency planning forum between nuclear site operators and key stakeholders for the off-site emergency plan.,,
Emergency Planning Cycle,,1.0,CCS,"A continuous process of assessing the risk of and preparing for emergencies, supported by procedures to keep staff in readiness and to review and validate plans and training, revising them if necessary following emergency exercises or response operations.",,
Emergency Planning Duty Officer ,,2.0,CCS,(Local authority guidance term for) On-call local government officer responsible for dealing with civil contingency matters including requests for mutual aid,,
Emergency powers,,1.0,CCS,"Last-resort option for responding to the most serious of emergencies where existing powers are insufficient, and additional powers are enacted under part 2 of the Civil Contingencies Act (2004) and elsewhere",,
Emergency preparedness, ,1.0,CCS,"1. The extent to which emergency planning enables the effective and efficient prevention, reduction, control and mitigation of, and response to emergencies",,
,,,,"2. Title of a publication setting out civil protection responsibilities under the Civil Contingencies Act 2004 in the areas of anticipation, assessment and prevention of, and preparation for, emergencies",,
Emergency Procedures Information Centre,EPIC,1.0,CCS,"Central point, managed by British Airways, for the co-ordination of airline information during an emergency",,
Emergency Reference Levels,ERLs,2.0,NEPLG,Quantitative criteria used to plan for the introduction of urgent countermeasures in the event of a nuclear emergency. ,,
Emergency regulations,,1.0,CCS,Temporary legislation used as a last resort in the most serious of emergencies where existing legislation is insufficient to respond in the most effective way,,
Emergency Services Mobile Communications Programme,,2.1,CCS,A programme managed by the Home Office to deliver capabilities which meet the mobile communications requirements for the emergency services.,,
Emergency services , ,2.1,CCS,"Generic term for police, fire and rescue, and health agencies; may also include HM Coastguard and other responders.",Note: it is often used synonymously with 'Blue Light Services',
Emergency Towing Vessel,ETV,2.0,MCA,Ocean going tug employed by the MARITIME AND COASTGUARD AGENCY ,,
ENDEX,,2.0,CCS,End of Exercise,Note: included for Acronym,
Environment Agency,EA,2.0,EA,"The Environment agency’s role is to protect and enhance the environment as a whole in England and Wales. As part of this role, they are also a nuclear regulator in respect of controlling discharges to the environment. An executive non-departmental public body responsible to theSecretary of State for DEFRA","Note: in Scotland, this role is performed the SEPA, the Scottish Environment Protection Agency.",England and Wales
Environment and Heritage Service (Northern Ireland),EHS,1.0,CCS,"Agency within the Department of the Environment, which takes the lead in advising on, and in implementing, the Government's environmental policy and strategy in Northern Ireland ",,Northern Ireland
Environment Group,EG,1.0,MCA,Body providing environmental and public health advice to responders in the event of a maritime pollution emergency,,
Environmental Information Regulations ,EIR,2.0,CCS,Statutory information (SI 2004 No. 3391) providing right of access to environmental information held by UK public authorities ,,
The European Atomic Energy Community,EURATOM,2.0,NEPLG,"An international organisation which acts in several areas connected with atomic energy, including research, the drawing-up of safety standards, and the peaceful uses of nuclear energy.",,European Union
European Community Urgent Radiological Information Exchange,ECURIE,2.0,NEPLG,Process for early notification of overseas nuclear accidents.,,European Union
European Union Civil Protection Mechanism,EU CPM,2.1,CCS,"An EU mechanism to facilitate member state co-operation in civil protection assistance in the event of major emergencies, or in situations with imminent threat of  major emergencies.",,European Union
Evacuation, ,1.0,CCS,"Removal, from a place of actual or potential danger to a place of relative safety, of people and (where appropriate) other living creatures ",,
Evacuation Assembly Point,EvAP,1.0,CCS,"Building or area on the periphery of an area affected by an emergency, to which evacuees are directed to await transfer to a survivor reception centre or rest centre",,
Evacuation Shelter,EvS,1.0,CCS,Building in an area out of danger providing basic accommodation for up to 48 hours after an emergency,,
Evacuee, ,1.0,CCS,Person removed from a place of actual or potential danger to a place of relative safety,,
Evening Civil Twilight,ECT,2.0,CCS,"Period between sunset and total darkness, when it is necessary to use artificial light to carry out most activities ",Note: ECT ends when the centre of the sun is 6° below the horizon,
Event,,2.0,CCS,See Incident,,
Evidential continuity,,1.0,CCS,"Proven movement of any item that becomes an exhibit, from the moment it enters the chain of evidence to the moment it is presented in court or destroyed ",,
Exclusion zone ,ExclZ,1.0,CCS,"Area, usually within the inner cordon, to which access is normally denied to all personnel, including emergency services. See also cordon",,
Exercise,,2.0,CCS,A simulation designed to validate organisations’ capability to manage incidents and emergencies. Specifically exercises will seek to validate training undertaken and the procedures and systems within emergency or business continuity plans.,"Note: while exercises will provide an opportunity to develop staff competences, they must not be regarded as a substitute for training and staff development",
Exercise Control,ExCon,2.1,CCS,,Note: included for Acronym,
Exercise Directing Team,,2.0,CCS,The team that assists in designing an exercise and then directing the exercise play.,,
Exercise Director,,2.0,CCS,The individual who is charged with designing and directing an exercise. ,,
Exercise Planning and Delivery Team,,2.0,CCS,See Exercise Directing Team,"Note: while exercises will provide an opportunity to develop staff competences, they must not be regarded as a substitute for training and staff development.",
Exercise Programme,,2.0,CCS,Planned series of exercises developed by an organisation or group of organisations to validate training and plans. ,,
Exit System, ,2.0,DCMS,"Series of exits at a stadium or sports ground, linked to form a means of passage for spectators  ",,
Explosive Detection Dog,EDD,2.1,MOD,,Note: included for Acronym,
Explosive Ordnance Disposal,EOD,2.0,MOD,"The detection, identification, on-site evaluation, rendering safe, recovery and final disposal of unexploded explosives ordnance.  It may also include explosives ordnance which has become hazardous by damage or deterioration. ",,
Extranet, ,1.0,CCS,See National Resilience Extranet,,
Extendibility,,2.0,CCS,"A characteristic of plans that may be been developed for specific circumstances but are able to be applied, or ‘scaled up’ to larger, or otherwise different circumstances.",,
Family and Friends Reception Centre ,FFRC,1.0,CCS,Assistance centre established by the police to cater for the family and friends of people affected by an emergency ,,
Family Liaison Co-ordinator,FLC,1.0,CCS,Police officer responsible for directing and supporting the Family Liaison Officers and acting as a liaison point for other agencies that may be able to assist with the family needs,,
Family Liaison Officer ,FLO,1.0,CCS,Police officer designated to facilitate an investigation into people believed to be missing and to assist identification by collecting ante-mortem data  ,,
Fire and Rescue Service,FRS,2.0.2,CCS,,Note: included for Acronym,
Fire and Rescue Service National Co-ordinating Centre,FRSNCC,2.1,DCLG,A capability to deploy and co-ordinate fire & rescue services resources in response to single or multiple large scale incidents.,,
Firelink,,2.0,CCS,Tetra-based digital radio communication system used by the fire and rescue services  ,,
First Aider,,2.0,CCS,A person who holds the standard certificate of first aid issued to people working as first aiders under the Health and Safety (First Aid) Regulations 1981.,,
Flammable ,,2.0,CCS,Able to burn with a flame.,,
Flash fire,,2.0.2,CCS,The burning of a flammable vapour cloud at very low flame propagation speed. ,"Note: combustion products are generated at a rate low enough for expansion to take place easily without significant over-pressure ahead of or behind the flame front - the hazard is, therefore, primarily due to thermal effects.",
Fleet Diving Squadron,FDS,2.1,MOD,"RN bomb disposal unit, specialising in underwater Explosives Ordnance Disposal (EOD)",,
Focal point , ,2.0,CCS,(Local authority guidance term for) Designated location within a local authority organisation to which and through which all supporting resources are directed and managed  ,,
Food and Environment Protection Act 1985,FEPA,2.0,NEPLG,"A FEPA order delineates a geographical area, using legally enforceable boundaries, and prohibits certain activities related to food gathering or production within that boundary. FEPA orders are imposed by the Food Standards Agency (FSA). ",,
Food Standards Agency,FSA,2.0,NEPLG,"A non-ministerial Government department which acts to protect the public’s health and consumer interests in relation to food. If necessary, can issue food restriction orders under the Food and Environment Protection Act 1985 (FEPA).",,
Force Incident Manager,FIM,2.1,NPIA,Tactical role within a  Police service when responding to a major or critical incident.,,
Forward Briefing Point,FBP,1.0,CCS,"Site with good views over the area affected by an incident, at which media briefings are conducted",,
,,,,,,
Forward Command Post,FCP,1.0,CCS,"Any service's command and control facility nearest the scene of the incident, responsible for immediate direction, deployment and security. This might be either an Operational / Bronze or Tactical / Silver facility depending on the circumstances of the incident.",,
Forward Control Point,FCP,1.0,CCS,See Forward Command Post,,
Forward Media Briefing Point,FMBP,2.0,CCS,See Forward Briefing Point,,
Friends and Relatives Reception Centre,FFRC,1.0,CCS,Assistance centre established at an airport for the family and friends of people who may have been involved in an aircraft incident,,
General Medical Council ,GMC,2.1,CCS,,Note: included for Acronym,
Generic (emergency) plan, ,2.0,CCS,"A single emergency plan developed to enable an organisation’s response to emergencies arising from a wide range of risks. Generic plans are usually specific to individual organisations, but in some cases they will be developed as multi-agency plans to enable a joint response for use by a range of emergency responder organisations.",,
Geographical Information System,GIS,1.0,CCS,"Computer based system that supports the capture, management, analysis and modelling of geographically referenced data",,
Global Maritime Distress and Safety System,GMDSS,2.0,MCA,"Internationally agreed set of safety procedures, types of equipment, and communication protocols used to increase safety and make it easier to rescue distressed ships, boats and aircraft  ",,
Gold,,1.0,CCS,"The strategic level of command and control (above Silver level and Bronze level) at which policy, strategy and the overall response framework are established and managed for individual responder agencies.","Note: the Strategic Co-ordinating Group, the multi-agency strategic co-ordinating body, may colloquially be referred to as the Gold Group, but not simply as Gold.",
Gold group, ,1.0,CCS,See Strategic Co-ordinating Group,,
Government Communications Headquarters,GCHQ,2.1,OSCT,,Note: included for Acronym,
"Government Communications
Network
",GCN,2.0,CCS,A virtual community of professional communicators working in government. ,,
Government Decontamination Service,GDS,2.0,CCS, DEFRA agency responsible for providing advice and guidance to responsible authorities on CBRN or HAZMAT related decontamination issues.,,
Government Liaison Officer ,GLO,2.1,CCS,"The lead member of the Government Liaison Team - in a non-terrorist emergency, an official from the Department of Communities and Local Government Resilience and Emergencies Division; in a terrorist emergency a Home Office official ",,
Government Liaison Team ,GLT,2.1,CCS,"Central government, multidisciplinary team, led by the Government Liaison Officer, dispatched to the site of an emergency to facilitate communication and co-operation between the government and local responders",,
Government Technical Advisor ,GTA,2.0, NEPLG,"A senior official, usually from HSE’s Nuclear  Directorate who attends the Strategic Co-ordination Centre to provide independent and authoritative advice to the police and other authorities handling the off-site response to a nuclear emergency. ",Note: the GTA is appointed by the Secretary of State for the Department of Energy and Climate Change or Scottish Ministers for the Scottish Government.,
Government Security Zone,GSZ,2.1,OSCT,,Note: included for acronym,
Government Telephone Preference Scheme ,GTPS,1.0,CCS,Scheme under which registered telephone numbers would still be able to make calls when all other users have been barred from the public network in extremis during an emergency,,
Greater London Authority,GLA,2.1,CCS,"Made up of the Mayor of London and a separately elected London Assembly. Provides strategic direction for London, including transport, planning, environment and culture.",,
Greater Manchester Police,GMP,2.1,MPS,,Note: included for acronym,
Harm,,2.0,CCS,"Nature and extent of physical injury (including loss of life) or psychological or economic damage to an individual, community, or organisation",,
Hazard  , ,1.0,CCS,"Accidental or naturally occurring (i.e., non-malicious) event or situation with the potential to cause death or physical or psychological harm, damage or losses to property, and/or disruption to the environment and/or to economic, social and political structures ",,
Hazard Assessment,,2.0,CCS,A component of the civil protection risk assessment process in which identified hazards are assessed for risk treatment.,,
Hazard Identification,,2.0,CCS,A component of the civil protection risk assessment process in which identified hazards are identified.,,
Hazardous Area Response Teams,HART,2.0,DH,"Specially recruited and trained personnel who provide the ambulance response to major incidents involving hazardous materials, or which present hazardous environments, that have occurred as a result of an accident or have been caused deliberately.",,
Hazardous Substance consent ,,1.0,HSE,"Consent required under the Planning (Hazardous Substances) Act 1990 for the presence on, over or under land of a hazardous substance in an amount at or above a specified controlled quantity",,
Hazmat,,1.0,CCS,"Abbreviation for hazardous materials although it is commonly used in relation to procedures, equipment and incidents involving hazardous materials. ",,
Head of Service ,,2.0,CCS,(Local authority guidance term for) Person in charge of a service of a local authority or his/her designated representative  ,,
Headquarters,HQ,2.1,MOD,,Note: included for acronym,
Health and Safety at Work Act,HSWA,2.0,HSE,Primary piece of legislation covering occupational health and safety in the United Kingdom. The Health and Safety Executive is responsible for enforcing the Act and a number of other Acts and Statutory Instruments relevant to the working environment.,,
Health and Safety Executive,HSE,2.0,HSE,The Health and Safety Commission (HSC) and the HSE are responsible for the regulation of almost all the risks to health and safety arising from work activity in Great Britain.,,
Health and Safety Executive’s Nuclear Directorate ,HSE ND,2.0,NEPLG,"HSE ND seeks to secure the protection of people and society from the hazards of the nuclear industry, by ensuring compliance with relevant legislation and by influencing the nuclear industry to create an excellent health, safety and security culture.
It achieves this through:
• Working with other regulators and agencies 
• Issuing licenses for various aspect of nuclear energy and materials 
• Approving security arrangements within the industry and ensuring compliance with those arrangements 
• Overseeing the UK’s international commitments on the peaceful use of nuclear energy 
• Engaging with all stakeholders in an open and transparent way to inspire confidence in their work 
",,
Health and welfare group,,1.0,CCS,Body within the command and control structure responsible for co-ordinating the delivery of humanitarian assistance in response (within the Strategic Co-ordinating Group) and recovery (within the Recovery Co-ordinating Group),,
Health Emergency Operating Centre,HEOC,1.0,CCS,Permanent NHS ambulance trust facilities for receiving emergency and non-emergency calls and controlling and co-ordinating resources. ,Note: previously known as Ambulance Control Rooms or Ambulance Control Centres,
Health Protection Agency,HPA,2.0,HPA,"The Agency identifies and responds to health hazards and emergencies caused by infectious disease, hazardous chemicals, poisons or radiation. It also makes sure the nation is ready for future threats to health that could happen naturally, accidentally or deliberately.",,
,,,,,,
,,,,,,
"Health Protection Agency Centre for Radiation, Chemical and Environmental Hazards",HPA CRCE,2.0,NEPLG,A specialist centre of HPA which deals with radiation and chemical hazards and threats.,"The HPA has a national monitoring co-ordination role during radiation emergencies. Documents and reports relating to radiation may be found under previous names, i.e. NRPB; HPA-RP; HPA-RPD and HPA CRCE.",
Health Protection Scotland,HPS,2.0,NEPLG,Established by the Scottish Government to strengthen and co-ordinate health protection in Scotland.,,Scotland
Helicopter Emergency Medical Service,HEMS,1.0,DH,National network of air ambulances. ,,
Helmsman,,2.0,MCA,1. Person steering a boat or vessel,,
,,,,2. (In the RNLI) Person in charge of an Inshore Life Boat  ,,
Helpline,,1.0,CCS,Telephone (and often email) system by which people affected by an emergency can obtain help or services or provide information ,,
Her Majesty’s (HM) Coastguard,HMCG,1.0,CCS,Body within the Maritime and Coastguard Agency responsible for initiating and co-ordinating civil maritime search and rescue within the united kingdom search and rescue region ,,
Her Majesty's Government,HMG,2.1,CCS,,Note: included for Acronym,
Her Majesty’s Nuclear Installations Inspectorate,HM NII,2.0,NEPLG,Now part of HSE Nuclear Directorate.,,
Her Majesty’s Treasury,HMT,2.1,HMRC,,Note: included for acronym,
High Capacity Emergency Access Route ,HCEAR,2.0,CCS,"Special road route designated for people who self- evacuate in private vehicles, and for the expedient access of emergency services vehicles  ",,
High Integrity Telecommunications System,HITS,2.0,CCS,A hybrid satellite /terrestrial -based communications system that is designed to provide a resilient communications backbone between crisis management centres across the UK. ,Note: HITS is designed to remain available in the event of loss of all or part of the Public Switched Telephone Network. The HITS network is comprised of fixed site  installations  and  a number of transportable satellite terminals capable of being deployed to  pre-identified fallback locations.,
Highway authority,HA,2.0,HA,Local authority’s responsibility for all public highways in its area that are not motorways or major trunk roads (which are covered by the Highways Agency),,
HM Coroner ,,2.0,CCS,See Coroner,,
Holding Area,,2.0,CCS,"Generic term for an area to which resources and personnel not immediately required at the scene or being held for further use, can be directed to standby  ",,
Holding and Audit Area for Deceased People and Human Remains,HAADR,1.0,CCS,Area close to the scene where the deceased can be temporarily held until transfer to the emergency mortuary or mortuary,,
Home Office,HO,2.0,CCS,"The Home Office is the lead government department for immigration and passports, drugs policy, counter-terrorism and policing.",,
Host Organisation ,,2.0,CCS,"(Local authority guidance term for) Local authority in whose operational area an emergency has occurred, and which requires support to deal with it  ",,
Host Organisation Lead Officer ,,2.0,CCS,(Local authority guidance term for) Nominated Host Organisation Manager responsible for the management of Mutual Aid  ,,
Hot Zone,,2.1,CCS,Zone of the highest level of contamination.  ,Note: only personnel in appropriate PPE may enter this zone (following a dynamic risk assessment.),
Hub,,2.0,CCS,Designated location at which evacuees can be picked up by public transport.  See also head  ,,
Humanitarian assistance, ,1.0,CCS,"Multi-agency response to ensure that those involved and affected by a major incident are properly cared for, by the provision of shelter, information, advice, emotional, financial and legal support, and the like",,
Humanitarian Assistance Centre,HAC,2.0,CCS,Assistance centre established during the first 72 hours of an emergency to cater for the medium and longer term needs of people affected by an emergency,"Note: 'virtual' HACs are sometimes established, based  upon call centre or internet operations, rather than a physical building",
Identification Commission ,,1.0,CCS,"Body responsible for supervising and directing the identification process, and to determine the identity of the deceased to the satisfaction of HM Coroner  ",,
Immediate emergency response phase ,,2.0,CCS,Unofficial term used in some of the literature to signify the early stages of the response phase  ,,
Impact, ,1.0,CCS,"The scale of the consequences of a hazard, threat or emergency expressed in terms of a reduction in human welfare, damage to the environment and loss of security  ",,
Impact Management Group,IMG,2.0,CCS,Sub-group in the Cabinet Office Briefing Rooms (COBR). Normally chaired by the Cabinet Office and comprising representatives of other departments and agencies involved in consequence management.,,
Improvised Explosive Device,IED,2.0,MOD,"A device placed or fabricated in an improvised manner incorporating destructive, lethal, noxious, pyrotechnic or incendiary chemicals and designed to destroy, incapacitate, harass or distract.  It may incorporate military stores, but is normally devised from non-military components. ",,
Improvised Explosive Device Disposal,IEDD,2.1,MOD,,Note: included for Acronym,
Incident,,1.0,CCS,Event or situation that requires a response from the emergency services or other responders,Note: emergency (or major incident) refers to a specific type of incident requiring special deployment by one or more category 1 responder,
Incident Care Team,,2.1,Network Rail,A team of specially trained individuals provided by train operating companies to provide care and support to those directly affected by a railway incident., ,
Incident Commander,IC,1.0,CCS,The nominated emergency services officer with overall responsibility for tactics and resource management at the tactical level.  ,"Note: usually specific to each service.  At multi-agency incidents, there may be an incident commander for each service, and to avoid confusion it would be beneficial if the commanders referred to themselves as the silver commander for their service",
Incident Command Post,ICP,2.1,CCS,A tactical command facility (BUT SEE NOTE).,Note: the terms FCP and ICP are defined variably in different publications and this is being resolved through the work of the Joint Emergency Services Interoperability Programme,
Incident Control Point ,ICP,1.0,CCS,See Incident Command Post,,
Incident Liaison Officer,ILO,2.1,CCS,A local authority officer at the Incident Control Point who provides a direct link between local authority emergency control centres and the Tactical Co-ordinating Group.  ,Note: other agencies may also have incident liaison officers,
Incident Officer,,2.0,CCS,Generic term for an officer at the scene who commands his/her service’s response,,
Incident Response Unit,IRU,2.0,DCLG,Mass decontamination vehicle operated by the fire and rescue service on behalf of the health authority. Supplied by the government as part of the new dimension programme.,,
Inner cordon,,2.0,CCS,Cordon established to secure the immediate scene and provide a measure of protection for personnel working within the area,,
Integrated Emergency Management,IEM,1.0,CCS,"Multi-agency  approach to emergency management entailing six key activities – anticipation, assessment, prevention, preparation, response and recovery",,
Integration,,2.1,CCS,"Effective cooperation between all local, sub-national and national levels aimed at a coherent, integrated response ",Note: one of the eight principles outlined in Emergency Response and Recovery,
Intellectual Property Rights,IPR,2.1,CCS,,Note: included for Acronym,
Inter-agency,,1.0,CCS,Involving the participation of more than one agency  ,Note: frequently used interchangeably with joint–Agency and  Multi-Agency,
Inter-Agency Liaison Officer,IALO or ILO,2.1,DCLG,"A Fire and Rescue Service officer who can advise and support Incident Commanders, Police, Medical, Military and other Government Agencies on the organisation’s operational capacity and capability to reduce risk and safely resolve incidents at where an attendance may be required. This will include major incidents, public order, domestic or any other situation that would benefit from the attendance of the ILO.
",,
International Atomic Energy Agency,IAEA,2.0,NEPLG,"The IAEA is the world´s centre of cooperation in the nuclear field. It was set up as the world´s ""Atoms for Peace"" organization in 1957 within the United Nations family. The Agency works with its Member States and multiple partners worldwide to promote safe, secure and peaceful nuclear technologies.",,
International Commission  on Radiological Protection,ICRP,2.0,NEPLG,An advisory body providing recommendations and guidance on radiation protection,,
International Nuclear & Radiological Event Scale,INES,2.0,NEPLG,A tool for promptly communicating to the public in consistent terms the safety significance of reported nuclear and radiological incidents and accidents. ,Note: evaluated by the Nuclear Regulator and communicated internationally via DECC.,
Ionising Radiation Regulations 1999,IRRs,2.0,NEPLG, Regulations which establish specific requirements for the protection of employees and the public from radiation.,,
Joint-agency ,,1.0,CCS,Involving the participation of two agencies  ,Note: frequently used interchangeably with inter–agency and multi-agency,
Joint Emergency Services Control Centre ,JESCC,1.0,CCS,In London -  body comprising the incident control points grouped together,,
Joint Emergency Services Interoperability Programme,JESIP,2.1,CCS,,Note: included for Acronym,
Joint Regional Liaison Officer,JRLO,1.0,CCS,Officer of the Ministry of Defence (MOD) providing liaison between local or regional civil Emergency Control Centres and the MOD’s United Kingdom command structure,,
Joint Service Co-ordination Group,,2.0,MOD,Military body responsible for formal liaison (civil-military and tri-Service) within an Army Regional Brigade’s area  ,,
Joint Terrorism Analysis Centre,JTAC,2.1,MPS,,Note: included for Acronym,
Joint Working,,2.0.2,CCS,A single programme being delivered jointly by a number of organisations,,
Large scale evacuation , ,2.0,CCS,"Evacuation of between 25,000 and 100,000 people from a place of danger to a place of relative safety ","Note: see also Medium scale evacuation, small scale evacuation and mass evacuation",
Lead Government Department ,LGD,1.0,CCS,Department of the United Kingdom government or devolved administration designated as responsible for overall management of the government response to an emergency or disaster. There are LGDs identified for both the response and recovery phases of emergencies.,,
Lead officer ,,2.0,CCS,See Host Organisation Lead Officer,,
Lead Operator,,2.1,Network Rail,"The Train Operating Company leading all aspects of response to a railways incident, other than humanitarian assistance, on behalf of all affected train operators. ",,
Lead Organisation,,2.0,CCS,"Organisation appointed by a group of organisations to speak or act on their behalf or to take the lead in a given situation, with the other organisations’ support. The exact role of the lead organisation depends on the circumstances in which the lead role is being operated. ",,
Lead Pathologist,,2.0,CCS,Head of the pathology team working at the scene of and emergency  ,Note: acts on behalf of the CORONER in relation to completion of MORTUARY procedures and other relevant matters arising at the SCENE  ,
Lead Responder,,2.0,CCS,"A Category 1 responder charged with carrying out a duty under the Act on behalf of a number of responder organisations, so as to co-ordinate its delivery and to avoid unnecessary duplication.",,
Lend and borrow ,,2.0,CCS,(Local authority guidance term for) Form of mutual aid which allows for the discharge of one local authority’s functions by another ,,
Level 1 emergency,,2.0,CCS,Significant emergency; see under level of emergency,,
Level 2 emergency,,2.0,CCS,Serious emergency; see under level of emergency,,
Level 3 emergency,,2.0,CCS,Catastrophic emergency; see under level of emergency,,
Level of emergency ,,1.0,CCS,"Cabinet Office (2010) Central Government Arrangements for Responding to an Emergency defines three levels of emergency of national significance. These are, in descending order of magnitude, catastrophic emergency (Level 3); serious emergency (Level 2); significant emergency (Level 1). Below the national level there is a further category, local emergency, the response to which is conducted by local responders, where necessary in conjunction with local government. ","Note: in the case of a catastrophic or serious emergency, central government provides direction; in a significant emergency the central government provides support and nominates a lead government department",
Liaison Officer,LO,2.0,CCS,Generic term for a person within an organisation who co-ordinates that organisation’s staff at the SCENE ,,
Lifeboat Operations Manager ,,2.0,MCA,Person with overall responsibility for a RNLI lifeboat station,Note: usually acts as the primary LAUNCHING AUTHORITY,
Likelihood, ,1.0,CCS,"Chance of something happening, whether defined, measured or estimated objectively or subjectively, or in terms of general descriptors (such as rare, unlikely, almost certain), frequencies or mathematical probabilities.",,
Lines To Take,LTT ,2.1,CCS,,Note: included for Acronym,
Loading Point,,2.0,CCS,See hub,,
Local,,1.0,CCS,(by contrast with national or regional) relating to a limited area or immediate vicinity,,
Local emergency,,2.0,CCS,"Emergency with local impact, the response to which is conducted by local responders, where necessary in conjunction with local government ",,
Local Emergency Centre,LEC,2.0,NEPLG,Purpose-designed and equipped control centre for the co-ordination of the RESPONSE to a nuclear EMERGENCY emanating from a civil nuclear power station ,,
Local Resilience Area ,LRA,1.0,CCS,Area within which category 1 and 2 responders co-operate through the mechanism of a Local Resilience Forum.,,
Local Resilience Forum ,LRF,1.0,CCS,Process for bringing together all the category 1 and 2 responders within a police force area for the purpose of facilitating co-operation in fulfilment of their duties under the Civil Contingencies Act ,,
Local responder,,2.0,CCS,"Organisation which responds to emergencies at the local level, including both category 1 and category 2 responders and other organisations not covered by the Civil Contingencies Act ",,
Local Risk Assessment Guidance,LRAG,2.0,CCS,A document provided by central government with information on generic hazards and threats to assist Category 1 responders in performing their local risk assessment duty under the Civil Contingencies Act. ,,
London Emergency Services Liaison Panel,LESLP,2.1,,"LESLP is a multi-agency group in London that publishes the Major Incident Procedure Manual which provides summaries of the responses and responsibilities of each of the emergency services at a major incident in London, as well as an outline of the support role offered by local authorities.",http://www.leslp.gov.uk/,
London Local Authority Co-ordination Centre ,LLACC,1.0,CCS,Centre managed by the London Fire Brigade to oversee the co-ordination of London Local Authorities during a pan-London emergency requiring the invocation of the London Local Authority Gold arrangements.,,
Logistics,LOG,2.1,CCS,,Note: included for Acronym,
London District - military regional command for London,LONDIST,2.1,MOD,,Note: included for Acronym,
London Fire Brigade ,LFB,2.1,CCS,,Note: included for Acronym,
London Fire Brigade Emergency Planning ,LFB-EP ,2.1,CCS,,Note: included for Acronym,
London Underground Limited,LUL,2.1,CCS,,Note: included for Acronym,
London Underground Limited’s Network Operations Centre,LUL NOC  ,2.1,DfT,,Note: included for Acronym,
